Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,0.560000,0.576250,0.547500,0.548750,0.342128,9936800
2015-05-29,0.552500,0.552500,0.528750,0.535000,0.333555,7225600
2015-06-01,0.532500,0.551250,0.532500,0.540000,0.336672,4058400
2015-06-02,0.542500,0.550000,0.525000,0.531250,0.331217,9927200
2015-06-03,0.532500,0.535000,0.508750,0.513750,0.320306,10342400
2015-06-05,0.515000,0.518750,0.502500,0.511250,0.318748,5320800
2015-06-08,0.515000,0.515000,0.505000,0.507500,0.316410,2582400
2015-06-09,0.506250,0.513750,0.501250,0.510000,0.317968,3071200
2015-06-10,0.515000,0.517500,0.500000,0.501250,0.312513,3350400
2015-06-11,0.502500,0.507500,0.492500,0.497500,0.310175,4363200
2015-06-12,0.493750,0.493750,0.483750,0.488750,0.304720,2374400
2015-06-15,0.488750,0.492500,0.478750,0.485000,0.302382,2284000
2015-06-16,0.490000,0.491250,0.478750,0.482500,0.300823,2572800
2015-06-17,0.482500,0.490000,0.478750,0.488750,0.304720,2251200
2015-06-18,0.490000,0.491250,0.480000,0.480000,0.299264,3492800
2015-06-19,0.480000,0.490000,0.470000,0.487500,0.303940,5672000
2015-06-22,0.491250,0.502500,0.485000,0.493750,0.307837,2841600
2015-06-23,0.498750,0.498750,0.476250,0.477500,0.297706,4240000
2015-06-24,0.480000,0.483750,0.462500,0.463750,0.289133,3136000
2015-06-25,0.465000,0.466250,0.447500,0.447500,0.279002,2740000
2015-06-26,0.450000,0.455000,0.440000,0.447500,0.279002,1847200
2015-06-29,0.445000,0.462500,0.437500,0.440000,0.274326,4206400
2015-06-30,0.440000,0.443750,0.436250,0.441250,0.275105,4368000
2015-07-01,0.441250,0.442500,0.427500,0.431250,0.268870,3771200
2015-07-02,0.430000,0.431250,0.412500,0.417500,0.260298,6258400
2015-07-03,0.412500,0.412500,0.401250,0.406250,0.253284,6357600
2015-07-06,0.405000,0.405000,0.387500,0.398750,0.248608,5507200
2015-07-07,0.393750,0.396250,0.382500,0.388750,0.242373,4116000
2015-07-08,0.383750,0.388750,0.368750,0.372500,0.232242,5385600
2015-07-10,0.378750,0.386250,0.372500,0.378750,0.236138,4996800
2015-07-13,0.377500,0.381250,0.368750,0.368750,0.229904,4244800
2015-07-14,0.366250,0.367500,0.358750,0.365000,0.227566,2077600
2015-07-15,0.362500,0.363750,0.343750,0.346250,0.215876,8753600
2015-07-16,0.343750,0.343750,0.326250,0.330000,0.205744,10064800
2015-07-17,0.330000,0.330000,0.316250,0.318750,0.198730,10402400
2015-07-20,0.320000,0.321250,0.297500,0.305000,0.190158,10413600
2015-07-21,0.300000,0.361250,0.298750,0.350000,0.218214,32340000
2015-07-22,0.343750,0.381250,0.343750,0.381250,0.237697,21431200
2015-07-23,0.390000,0.450000,0.386250,0.447500,0.279002,35279200
2015-07-24,0.475000,0.491250,0.380000,0.380000,0.236918,43638400
2015-07-27,0.380000,0.381250,0.337500,0.348750,0.217434,16271200
2015-07-28,0.361250,0.371250,0.347500,0.357500,0.222890,8783200
2015-07-29,0.353750,0.353750,0.333750,0.343750,0.214317,7984800
2015-07-30,0.342500,0.347500,0.331250,0.342500,0.213538,4549600
2015-07-31,0.365000,0.450000,0.365000,0.448750,0.279781,31232800
2015-08-03,0.436250,0.448750,0.398750,0.417500,0.260298,17639200
2015-08-04,0.425000,0.447500,0.415000,0.430000,0.268091,12422400
2015-08-05,0.437500,0.440000,0.407500,0.408750,0.254842,6043200
