Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,17.600000,17.778500,17.520700,17.712400,15.981768,6552755
2015-05-29,17.659500,17.991699,17.487600,17.694201,15.965347,4879325
2015-06-01,17.694201,17.900801,17.403299,17.456200,15.750599,3876235
2015-06-02,17.603300,18.125601,17.338800,18.125601,16.354599,3534410
2015-06-03,18.097500,18.099199,17.757000,17.824800,16.083185,18327870
2015-06-05,17.540501,17.881001,17.538799,17.702499,15.972836,2877380
2015-06-08,17.652901,18.180201,17.652901,18.082600,16.315794,4510275
2015-06-09,18.013201,18.178499,17.935499,17.943800,16.190559,6210325
2015-06-10,18.016500,18.337200,17.952101,18.148800,16.375530,3930685
2015-06-11,18.238001,18.312401,17.981800,18.148800,16.375530,2639615
2015-06-12,18.148800,18.313999,18.004999,18.181801,16.405300,6847390
2015-06-15,18.100800,18.570200,18.024799,18.505800,16.697649,1868240
2015-06-16,18.556999,18.556999,18.216499,18.264500,16.479927,6223030
2015-06-17,18.214899,18.490900,18.115700,18.284300,16.497791,3502950
2015-06-18,18.309099,18.631399,18.309099,18.611601,16.793106,2288715
2015-06-19,18.459499,18.565300,18.267799,18.347099,16.742096,5721485
2015-06-22,18.381800,18.495899,18.267799,18.487600,16.870310,2068495
2015-06-23,18.512400,18.594999,18.274401,18.347099,16.742096,4553835
2015-06-24,18.368601,18.510700,18.234699,18.434700,16.822037,1795640
2015-06-25,18.428101,18.867800,18.281000,18.867800,17.217249,4881140
2015-06-26,18.861200,19.208300,18.790100,18.990101,17.328846,3887730
2015-06-29,18.839701,18.877701,18.479300,18.813200,17.167427,3085500
2015-06-30,18.867800,19.138800,18.646299,18.677700,17.043777,4749855
2015-07-01,18.809900,19.112400,18.732201,19.112400,17.440451,3136320
2015-07-02,19.026400,19.467800,19.014900,19.462799,17.760199,4782525
2015-07-03,19.388399,19.568600,19.345501,19.504101,17.797884,1747845
2015-07-06,19.396700,19.556999,19.256201,19.299200,17.610912,2375835
2015-07-07,19.239700,19.471100,18.917400,18.917400,17.262518,6746355
2015-07-08,18.843000,18.948799,18.537201,18.644600,17.013575,5397205
2015-07-10,18.545500,19.236401,18.495899,19.118999,17.446472,3504765
2015-07-13,19.180201,19.254499,19.013201,19.124001,17.451035,2190100
2015-07-14,19.006599,19.185101,18.843000,18.843000,17.194609,2712820
2015-07-15,18.826401,19.228100,18.813200,18.975201,17.315252,2779975
2015-07-16,19.114000,19.165300,18.694201,18.953699,17.295633,2767875
2015-07-17,19.000000,19.157000,18.776899,18.778500,17.135763,1743005
2015-07-20,18.837999,18.958700,18.495899,18.578501,16.953257,2354055
2015-07-21,18.611601,18.750401,18.335501,18.438000,16.825043,6314990
2015-07-22,18.183500,18.505800,18.183500,18.345501,16.740641,3930685
2015-07-23,18.256201,18.328899,17.700800,17.890900,16.325800,7546770
2015-07-24,17.890900,17.894199,17.494200,17.685900,16.138742,4208380
2015-07-27,17.520700,17.684299,17.107401,17.419800,15.895916,4353580
2015-07-28,17.409901,18.170200,17.409901,17.818199,16.259466,5219335
2015-07-29,17.778500,18.178499,17.752100,17.818199,16.259466,2602105
2015-07-30,17.837999,18.274401,17.760300,18.274401,16.675762,3726800
2015-07-31,18.781799,18.781799,17.861200,17.998301,16.423815,5967115
